id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date_month,date_year,age,coordinates,distance
2524049179,2000000.0,3,2.75,3050,44867,1,0,4,3,9,2330,720.0,1968,0,98040,47.5316,-122.23299999999999,4110,20336,8,2014,52,"(47.5316, -122.23299999999999)",12.837562702463062
7137970340,285000.0,5,2.5,2270,6300,2,0,0,3,8,2270,0.0,1995,0,98092,47.3266,-122.169,2240,7005,7,2014,25,"(47.3266, -122.169)",35.645545463114225
8091400200,252700.0,2,1.5,1070,9643,1,0,0,3,7,1070,0.0,1985,0,98030,47.3533,-122.166,1220,8386,5,2014,35,"(47.3533, -122.166)",32.93066600401046
3814700200,329000.0,3,2.25,2450,6500,2,0,0,4,8,2450,0.0,1985,0,98030,47.3739,-122.17200000000001,2200,6865,11,2014,35,"(47.3739, -122.17200000000001)",30.632352647603916
1202000200,233000.0,3,2.0,1710,4697,1,0,0,5,6,1710,0.0,1941,0,98002,47.3048,-122.21799999999999,1030,4705,11,2014,79,"(47.3048, -122.21799999999999)",36.990253081779464
1794500383,937000.0,3,1.75,2450,2691,2,0,0,3,8,1750,700.0,1915,0,98119,47.6386,-122.36,1760,3573,6,2014,105,"(47.6386, -122.36)",2.9400286833710516
3303700376,667000.0,3,1.0,1400,1581,1,0,0,5,8,1400,0.0,1909,0,98112,47.6221,-122.314,1860,3861,12,2014,111,"(47.6221, -122.314)",1.089954838171496
5101402488,438000.0,3,1.75,1520,6380,1,0,0,3,7,790,730.0,1948,0,98115,47.695,-122.304,1520,6235,6,2014,72,"(47.695, -122.304)",7.38823260513892
1873100390,719000.0,4,2.5,2570,7173,2,0,0,3,8,2570,0.0,2005,0,98052,47.7073,-122.11,2630,6026,3,2015,15,"(47.7073, -122.11)",18.12879404915122
8562750320,580500.0,3,2.5,2320,3980,2,0,0,3,8,2320,0.0,2003,0,98027,47.5391,-122.07,2580,3980,11,2014,17,"(47.5391, -122.07)",21.489031618458725
2426039314,280000.0,2,1.5,1190,1265,3,0,0,3,7,1190,0.0,2005,0,98133,47.7274,-122.35700000000001,1390,1756,12,2014,15,"(47.7274, -122.35700000000001)",11.147158255097743
461000390,687500.0,4,1.75,2330,5000,1,0,0,4,7,1510,820.0,1929,0,98117,47.6823,-122.368,1460,5000,6,2014,91,"(47.6823, -122.368)",6.740854090379296
7589200193,535000.0,3,1.0,1090,3000,1,0,0,4,8,1090,0.0,1929,0,98117,47.6889,-122.375,1570,5080,11,2014,91,"(47.6889, -122.375)",7.638936148383812
7955080270,322500.0,4,2.75,2060,6659,1,0,0,3,7,1280,780.0,1981,0,98058,47.4276,-122.15700000000001,2020,8720,12,2014,39,"(47.4276, -122.15700000000001)",25.707040931821208
9547205180,696000.0,3,2.5,2300,3060,1,0,0,3,8,1510,790.0,1930,2002,98115,47.6827,-122.31,1590,3264,6,2014,18,"(47.6827, -122.31)",5.962261438720601
9435300030,550000.0,4,1.0,1660,34848,1,0,0,1,5,930,730.0,1933,0,98052,47.6621,-122.132,2160,11467,5,2014,87,"(47.6621, -122.132)",14.752306898839464
2768000400,640000.0,4,2.0,2360,6000,2,0,0,4,8,2360,0.0,1904,0,98107,47.6702,-122.36200000000001,1730,4700,12,2014,116,"(47.6702, -122.36200000000001)",5.358647729257712
7895500070,240000.0,4,1.0,1220,8075,1,0,0,2,7,890,330.0,1969,0,98001,47.3341,-122.28200000000001,1290,7800,2,2015,51,"(47.3341, -122.28200000000001)",33.0244250373099
2078500320,605000.0,4,2.5,2620,7553,2,0,0,3,8,2620,0.0,1996,0,98056,47.5301,-122.18,2620,11884,6,2014,24,"(47.5301, -122.18)",15.425699742769558
5547700270,625000.0,4,2.5,2570,5520,2,0,0,3,9,2570,0.0,2000,0,98074,47.6145,-122.027,2470,5669,7,2014,20,"(47.6145, -122.027)",22.249543065588615
7766200013,775000.0,4,2.25,4220,24186,1,0,0,3,8,2600,1620.0,1984,0,98166,47.445,-122.34700000000001,2410,30617,8,2014,36,"(47.445, -122.34700000000001)",20.627680492598408
7203220400,861990.0,5,2.75,3595,5639,2,0,0,3,9,3595,0.0,2014,0,98053,47.6848,-122.016,3625,5639,7,2014,6,"(47.6848, -122.016)",23.79277343129083
9270200160,685000.0,3,1.0,1570,2280,2,0,0,3,7,1570,0.0,1922,0,98119,47.6413,-122.36399999999999,1580,2640,10,2014,98,"(47.6413, -122.36399999999999)",3.327566677472658
1432701230,309000.0,3,1.0,1280,9656,1,0,0,4,6,920,360.0,1959,0,98058,47.4485,-122.175,1340,8808,7,2014,61,"(47.4485, -122.175)",23.018243767409714
8035350320,488000.0,3,2.5,3160,13603,2,0,0,3,8,3160,0.0,2003,0,98019,47.7443,-121.977,3050,9232,7,2014,17,"(47.7443, -121.977)",28.85975708972012
8945200830,210490.0,3,1.0,990,8528,1,0,0,3,6,990,0.0,1966,0,98023,47.3066,-122.37100000000001,1228,8840,3,2015,54,"(47.3066, -122.37100000000001)",36.118910636673206
4178300310,785000.0,4,2.5,2290,13416,2,0,0,4,9,2290,0.0,1981,0,98007,47.6194,-122.15100000000001,2680,13685,7,2014,39,"(47.6194, -122.15100000000001)",12.942108096290863
9215400105,450000.0,3,1.75,1250,5963,1,0,0,4,7,1250,0.0,1953,0,98115,47.6796,-122.301,970,5100,4,2015,67,"(47.6796, -122.301)",5.777487842183938
822039084,1350000.0,3,2.5,2753,65005,1,1,2,5,9,2165,588.0,1953,0,98070,47.4041,-122.45100000000001,2680,72513,3,2015,67,"(47.4041, -122.45100000000001)",26.87464227310046
5245600105,228000.0,3,1.0,1190,9199,1,0,0,3,7,1190,0.0,1955,0,98148,47.4258,-122.322,1190,9364,9,2014,65,"(47.4258, -122.322)",22.683920626872954
7231300125,345000.0,5,2.5,3150,9134,1,0,0,4,8,1640,1510.0,1966,0,98056,47.4934,-122.189,1990,9133,2,2015,54,"(47.4934, -122.189)",18.197042222638743
7518505990,600000.0,3,1.75,1410,4080,1,0,0,4,7,1000,410.0,1950,0,98117,47.6808,-122.384,1410,4080,12,2014,70,"(47.6808, -122.384)",7.282472347484753
3626039271,585000.0,2,1.75,1980,8550,1,0,0,3,7,990,990.0,1981,0,98117,47.6989,-122.369,1480,6738,2,2015,39,"(47.6989, -122.369)",8.420451589255425
4217401195,920000.0,5,2.25,2730,6000,1,0,0,3,8,2130,600.0,1927,0,98105,47.6571,-122.281,2730,6000,3,2015,93,"(47.6571, -122.281)",4.372130391493026
9822700295,885000.0,4,2.5,2830,5000,2,0,0,3,9,2830,0.0,1995,0,98105,47.6597,-122.29,1950,5000,5,2014,25,"(47.6597, -122.29)",4.14313751561958
9478500640,292500.0,4,2.5,2250,4495,2,0,0,3,7,2250,0.0,2008,0,98042,47.3663,-122.11399999999999,2250,4500,8,2014,12,"(47.3663, -122.11399999999999)",33.24166337512197
2799800710,301000.0,3,2.5,2420,4750,2,0,0,3,8,2420,0.0,2003,0,98042,47.3663,-122.12200000000001,2690,4750,4,2015,17,"(47.3663, -122.12200000000001)",32.96205022943435
7922800400,951000.0,5,3.25,3250,14342,2,0,4,4,8,3250,0.0,1968,0,98008,47.588,-122.116,2960,11044,8,2014,52,"(47.588, -122.116)",16.19915724689236
8079040320,430000.0,4,3.0,1850,9976,2,0,0,3,8,1850,0.0,1991,0,98059,47.5059,-122.149,2270,8542,2,2015,29,"(47.5059, -122.149)",18.979571311645884
1516000055,650000.0,3,2.25,2150,21235,1,0,3,4,8,1590,560.0,1959,0,98166,47.4336,-122.339,2570,18900,12,2014,61,"(47.4336, -122.339)",21.849519894684775
9558200045,289000.0,3,1.75,1260,8400,1,0,0,3,7,1260,0.0,1954,0,98148,47.4366,-122.335,1290,8750,8,2014,66,"(47.4366, -122.335)",21.50177095203712
5072410070,505000.0,3,1.75,2519,8690,2,0,0,5,8,2519,0.0,1973,0,98166,47.4428,-122.344,2500,9500,10,2014,47,"(47.4428, -122.344)",20.853155193796308
9528102996,549000.0,3,1.75,1540,1044,3,0,0,3,8,1540,0.0,2014,0,98115,47.6765,-122.32,1580,3090,12,2014,6,"(47.6765, -122.32)",5.197669886945137
1189001180,425000.0,3,2.25,1660,6000,1,0,0,3,7,1110,550.0,1979,0,98122,47.6113,-122.29700000000001,1440,4080,6,2014,41,"(47.6113, -122.29700000000001)",2.8335655359592065
3253500160,317625.0,3,2.75,2770,3809,1,0,0,5,7,1770,1000.0,1925,0,98144,47.5747,-122.304,1440,4000,11,2014,95,"(47.5747, -122.304)",6.2902779167565575
3394100030,975000.0,4,2.5,2720,11049,2,0,0,3,10,2720,0.0,1989,0,98004,47.5815,-122.19200000000001,2750,11049,9,2014,31,"(47.5815, -122.19200000000001)",11.19377620686559
3717000160,287000.0,4,2.5,2240,4648,2,0,0,3,7,2240,0.0,2005,0,98001,47.3378,-122.257,2221,4557,10,2014,15,"(47.3378, -122.257)",32.84556275794644
1274500060,204000.0,3,1.0,1000,12070,1,0,0,4,7,1000,0.0,1968,0,98042,47.3621,-122.11,1010,12635,8,2014,52,"(47.3621, -122.11)",33.79557016330064
1802000060,1330000.0,5,2.25,3200,20158,1,0,0,3,8,1600,1600.0,1965,0,98004,47.6303,-122.215,3390,20158,6,2014,55,"(47.6303, -122.215)",8.093281777332237
1525059190,1040000.0,5,3.25,4770,50094,1,0,0,4,11,3070,1700.0,1973,0,98005,47.6525,-122.16,3530,38917,9,2014,47,"(47.6525, -122.16)",12.470107685990559
1049000060,325000.0,3,2.0,1260,5612,1,0,0,4,7,1260,0.0,1972,0,98034,47.7362,-122.179,1640,4745,1,2015,48,"(47.7362, -122.179)",16.00566380119433
8820901275,571000.0,4,2.0,2750,7807,1,0,0,5,7,2250,500.0,1916,0,98125,47.7168,-122.287,1510,7807,6,2014,104,"(47.7168, -122.287)",10.042472458385626
5416510140,360000.0,4,2.5,2380,5000,2,0,0,3,8,2380,0.0,2005,0,98038,47.3608,-122.036,2420,5000,7,2014,15,"(47.3608, -122.036)",36.872933592022044
3444100400,349000.0,3,1.75,1790,50529,1,0,0,5,7,1090,700.0,1965,0,98042,47.3511,-122.073,1940,50529,3,2015,55,"(47.3511, -122.073)",36.23836733176076
3276920270,832500.0,4,4.0,3430,35102,2,0,0,4,10,2390,1040.0,1986,0,98075,47.5822,-121.98700000000001,3240,35020,11,2014,34,"(47.5822, -121.98700000000001)",25.740127507901803
4036801170,380000.0,4,1.75,1760,7300,1,0,0,3,7,880,880.0,1956,0,98008,47.6034,-122.125,1680,7500,10,2014,64,"(47.6034, -122.125)",15.128685337226587
2391600320,480000.0,3,1.0,1040,5060,1,0,0,3,7,1040,0.0,1941,0,98116,47.5636,-122.39399999999999,890,5060,4,2015,79,"(47.5636, -122.39399999999999)",9.084568912879924
6300000287,410000.0,3,1.0,1410,5060,1,0,0,4,7,910,500.0,1956,0,98133,47.7073,-122.34,1130,5693,6,2014,64,"(47.7073, -122.34)",8.711131589746135
1531000030,720000.0,4,2.5,3450,39683,2,0,0,3,10,3450,0.0,2002,0,98010,47.342,-122.025,3350,39750,3,2015,18,"(47.342, -122.025)",39.058177331162675
5104520400,390000.0,3,2.5,2350,5100,2,0,0,3,8,2350,0.0,2003,0,98038,47.3512,-122.008,2350,5363,12,2014,17,"(47.3512, -122.008)",38.98531315374967
7437100340,360000.0,4,2.5,1900,5889,2,0,0,3,7,1900,0.0,1992,0,98038,47.349,-122.031,1870,6405,12,2014,28,"(47.349, -122.031)",38.16119394710239
9418400240,355000.0,2,1.0,2020,6720,1,0,0,3,7,1010,1010.0,1948,0,98118,47.5474,-122.291,1720,6720,10,2014,72,"(47.5474, -122.291)",9.471548797930842
1523059105,356000.0,3,1.5,1680,8712,1,0,0,3,8,1680,0.0,1964,0,98059,47.4811,-122.149,1850,8797,1,2015,56,"(47.4811, -122.149)",21.068782544671194
1133000671,315000.0,3,1.0,960,6634,1,0,0,3,6,960,0.0,1952,0,98125,47.7264,-122.31,1570,7203,6,2014,68,"(47.7264, -122.31)",10.785448230333106
4232902595,940000.0,3,1.5,2140,3600,2,0,0,3,9,1900,240.0,1925,0,98119,47.6337,-122.365,2020,4800,11,2014,95,"(47.6337, -122.365)",3.176947958917976
2599001200,305000.0,5,2.25,2660,8400,1,0,0,5,7,2660,0.0,1961,0,98092,47.2909,-122.189,1590,8165,11,2014,59,"(47.2909, -122.189)",39.00729024175364
3342103156,461000.0,3,3.25,2770,6278,2,0,0,3,9,1980,790.0,2006,0,98056,47.5228,-122.199,1900,7349,6,2014,14,"(47.5228, -122.199)",15.10229791389527
1332700270,215000.0,2,2.25,1610,2040,2,0,0,4,7,1610,0.0,1979,0,98056,47.518,-122.194,1950,2025,5,2014,41,"(47.518, -122.194)",15.75409779399351
3869900162,335000.0,2,1.75,1030,1066,2,0,0,3,7,765,265.0,2006,0,98136,47.5394,-122.387,1030,1106,9,2014,14,"(47.5394, -122.387)",11.139304816655063
2791500270,243500.0,4,2.5,1980,7403,2,0,0,3,7,1980,0.0,1988,0,98023,47.2897,-122.37200000000001,1980,7510,5,2014,32,"(47.2897, -122.37200000000001)",37.99644175319625
5036300431,1100000.0,5,2.75,3520,6353,2,0,0,4,10,3520,0.0,2001,0,98199,47.6506,-122.391,2520,6250,3,2015,19,"(47.6506, -122.391)",5.5950757809413725
4168000060,153000.0,3,1.0,1200,10500,1,0,0,3,7,1200,0.0,1962,0,98023,47.321999999999996,-122.351,1350,10500,2,2015,58,"(47.321999999999996, -122.351)",34.290478591011954
6021501535,430000.0,3,1.5,1580,5000,1,0,0,3,8,1290,290.0,1939,0,98117,47.687,-122.38600000000001,1570,4500,7,2014,81,"(47.687, -122.38600000000001)",7.919440069989186
6021501535,700000.0,3,1.5,1580,5000,1,0,0,3,8,1290,290.0,1939,0,98117,47.687,-122.38600000000001,1570,4500,12,2014,81,"(47.687, -122.38600000000001)",7.919440069989186
1483300570,905000.0,4,2.5,3300,10250,1,0,0,3,7,2390,910.0,1946,1991,98040,47.5873,-122.249,1950,6045,9,2014,29,"(47.5873, -122.249)",7.287549022047527
3422049190,247500.0,3,1.75,1960,15681,1,0,0,3,7,1960,0.0,1967,0,98032,47.3576,-122.277,1750,15616,3,2015,53,"(47.3576, -122.277)",30.46397240875111
1099611230,199000.0,4,1.5,1160,6400,1,0,0,4,7,1160,0.0,1975,0,98023,47.3036,-122.37799999999999,1160,6400,9,2014,45,"(47.3036, -122.37799999999999)",36.50669306871227
722079104,314000.0,3,1.75,1810,41800,1,0,0,5,7,1210,600.0,1980,0,98038,47.4109,-121.958,1650,135036,7,2014,40,"(47.4109, -121.958)",36.65669592677845
7338200240,437500.0,3,2.5,2320,36847,2,0,2,3,9,2320,0.0,1992,0,98045,47.4838,-121.714,2550,35065,5,2014,28,"(47.4838, -121.714)",48.49772749594435
1952200240,850830.0,3,2.5,2070,13241,1,0,0,5,9,1270,800.0,1910,0,98102,47.6415,-122.315,2200,4500,6,2014,110,"(47.6415, -122.315)",1.4324330538357377
5200100125,555000.0,3,2.0,1980,3478,1,0,0,4,7,1440,540.0,1929,0,98117,47.6775,-122.37200000000001,1610,3478,10,2014,91,"(47.6775, -122.37200000000001)",6.450030176816286
7214720075,699950.0,3,2.25,2190,107593,2,0,0,4,8,2190,0.0,1983,0,98077,47.7731,-122.08,2570,47777,12,2014,37,"(47.7731, -122.08)",24.178043816715853
2450000295,1090000.0,3,2.5,2920,8113,2,0,0,3,8,2920,0.0,1950,2010,98004,47.5814,-122.196,2370,8113,10,2014,10,"(47.5814, -122.196)",10.937086136724929
6197800045,290000.0,3,1.0,1210,33919,1,0,0,3,7,1210,0.0,1954,0,98058,47.4375,-122.184,1640,14910,9,2014,66,"(47.4375, -122.184)",23.79327326190805
1328310370,375000.0,3,2.5,2340,10005,1,0,0,4,8,1460,880.0,1978,0,98058,47.4431,-122.133,2250,8162,4,2015,42,"(47.4431, -122.133)",25.187778599351784
546000875,460000.0,3,1.0,1670,4005,1,0,0,4,7,1170,500.0,1939,0,98117,47.6878,-122.38,1240,4005,5,2014,81,"(47.6878, -122.38)",7.7342125240733255
3530510041,188500.0,2,1.75,1240,2493,1,0,0,4,8,1240,0.0,1985,0,98198,47.3813,-122.322,1270,4966,7,2014,35,"(47.3813, -122.322)",27.632079532012362
1853000400,680000.0,4,2.5,3140,28037,2,0,0,4,10,3140,0.0,1991,0,98077,47.7304,-122.08200000000001,2990,35001,3,2015,29,"(47.7304, -122.08200000000001)",21.22863450684093
3134100116,470000.0,5,1.75,2030,12342,2,0,0,4,7,2030,0.0,1942,0,98052,47.6417,-122.109,2500,9433,8,2014,78,"(47.6417, -122.109)",16.08906212094439
9545230140,597750.0,4,2.5,2310,9624,2,0,0,3,8,2310,0.0,1984,0,98027,47.5386,-122.053,1940,9636,7,2014,36,"(47.5386, -122.053)",22.64774859865946
3362400511,570000.0,3,1.75,1260,3328,1,0,0,5,6,700,560.0,1905,0,98103,47.6823,-122.34899999999999,1380,3536,3,2015,115,"(47.6823, -122.34899999999999)",6.1539797458989955
2525310310,272500.0,3,1.75,1540,12600,1,0,0,4,7,1160,380.0,1980,0,98038,47.3624,-122.031,1540,11656,9,2014,40,"(47.3624, -122.031)",36.95033585338972
6126500060,329950.0,3,1.75,2080,5969,1,0,2,3,7,1080,1000.0,1971,0,98108,47.5474,-122.295,2090,5500,11,2014,49,"(47.5474, -122.295)",9.400021368750819
8961960160,480000.0,4,2.5,3230,16171,2,0,0,3,9,2520,710.0,2001,0,98001,47.3183,-122.25299999999999,2640,8517,10,2014,19,"(47.3183, -122.25299999999999)",35.0345514011935
3626039325,740500.0,3,3.5,4380,6350,2,0,0,3,8,2780,1600.0,1900,0,98117,47.6981,-122.368,1830,6350,11,2014,120,"(47.6981, -122.368)",8.30871584902991
3362400431,518500.0,3,3.5,1590,1102,3,0,0,3,8,1590,0.0,2010,0,98103,47.6824,-122.34700000000001,1620,3166,6,2014,10,"(47.6824, -122.34700000000001)",6.1188583727961605
4060000240,205425.0,2,1.0,880,6780,1,0,0,4,6,880,0.0,1945,0,98178,47.5009,-122.24799999999999,1190,6780,6,2014,75,"(47.5009, -122.24799999999999)",15.398085236121918
3454800060,171800.0,4,2.0,1570,9600,1,0,0,3,6,1570,0.0,1950,0,98168,47.4965,-122.303,1880,9000,1,2015,70,"(47.4965, -122.303)",14.898074090411601
1695900060,535000.0,4,1.0,1610,2982,1,0,0,4,7,1610,0.0,1925,0,98144,47.586999999999996,-122.294,1610,4040,5,2015,95,"(47.586999999999996, -122.294)",5.2322054555182715
7278700070,660000.0,3,2.5,2400,6474,1,0,2,3,8,1560,840.0,1964,0,98177,47.7728,-122.38600000000001,2340,10856,1,2015,56,"(47.7728, -122.38600000000001)",16.585091199309943
6675500070,391500.0,3,2.0,1450,9132,1,0,0,3,7,1450,0.0,1987,0,98034,47.7288,-122.226,1580,9104,11,2014,33,"(47.7288, -122.226)",13.187823861121363
3626039187,395000.0,2,1.0,770,6000,1,0,0,3,6,770,0.0,1953,0,98117,47.6999,-122.36399999999999,1710,6000,4,2015,67,"(47.6999, -122.36399999999999)",8.377675445456632
3524049083,445000.0,4,1.75,2100,4400,1,0,0,5,7,1720,380.0,1924,0,98118,47.5299,-122.266,1850,4400,11,2014,96,"(47.5299, -122.266)",11.902763885985376
3275860240,770000.0,3,2.25,2910,10204,2,0,0,3,9,2910,0.0,1990,0,98052,47.6897,-122.098,2700,13992,6,2014,30,"(47.6897, -122.098)",18.119604544719166
4389200955,1450000.0,4,2.75,2750,17789,1,0,0,3,8,1980,770.0,1914,1992,98004,47.6141,-122.212,3060,11275,3,2015,28,"(47.6141, -122.212)",8.500386649048979
4058801670,445000.0,3,2.25,2100,8201,1,0,2,3,8,1620,480.0,1967,0,98178,47.5091,-122.244,2660,8712,7,2014,53,"(47.5091, -122.244)",14.671633637121483
8732020310,260000.0,4,2.25,2160,8811,1,0,0,3,8,1360,800.0,1978,0,98023,47.3129,-122.39,2090,8400,7,2014,42,"(47.3129, -122.39)",35.59574941647755
2331300505,822500.0,5,3.5,2320,4960,2,0,0,5,7,1720,600.0,1926,0,98103,47.6763,-122.352,1700,4960,6,2014,94,"(47.6763, -122.352)",5.6083159710879364
7853210060,430000.0,4,2.5,2070,4310,2,0,0,3,7,2070,0.0,2004,0,98065,47.5319,-121.85,1970,3748,4,2015,16,"(47.5319, -121.85)",37.11057873092294
3668000070,212000.0,3,1.75,1060,7875,1,0,0,4,7,1060,0.0,1986,0,98092,47.2761,-122.152,1420,7680,1,2015,34,"(47.2761, -122.152)",41.37796680339486
9545240070,660500.0,4,2.25,2010,9603,1,0,0,3,8,1440,570.0,1986,0,98027,47.5343,-122.054,2060,9793,4,2015,34,"(47.5343, -122.054)",22.800178252813584
1243100136,784000.0,3,3.5,3950,111078,1,0,0,3,9,2460,1490.0,1989,0,98052,47.696999999999996,-122.072,2480,88500,6,2014,31,"(47.696999999999996, -122.072)",20.227699107711388
8929000270,453246.0,3,2.5,2010,2287,2,0,0,3,8,1390,620.0,2014,0,98029,47.5517,-121.99799999999999,1690,1662,5,2014,6,"(47.5517, -121.99799999999999)",25.873462058161742
2767602356,675000.0,4,3.5,2140,2278,3,0,0,3,9,2140,0.0,2005,0,98107,47.6734,-122.38,1540,2285,1,2015,15,"(47.6734, -122.38)",6.460150182184817
921049315,199000.0,3,1.75,1320,17390,1,0,0,4,7,1320,0.0,1956,0,98003,47.3257,-122.296,1550,19265,8,2014,64,"(47.3257, -122.296)",33.8752522758417
3655000070,220000.0,4,1.75,2020,7840,1,0,0,3,7,1010,1010.0,1968,0,98003,47.3309,-122.29899999999999,1750,8140,8,2014,52,"(47.3309, -122.29899999999999)",33.2851107289077
4027700812,452000.0,4,2.25,2590,10002,1,0,0,4,8,1340,1250.0,1968,0,98028,47.7689,-122.266,1550,10436,5,2014,52,"(47.7689, -122.266)",16.044669586410073
3992700335,382500.0,2,1.0,1190,4440,1,0,0,3,6,1190,0.0,1981,0,98125,47.7135,-122.287,1060,5715,7,2014,39,"(47.7135, -122.287)",9.689517704374197
2767603505,519950.0,3,2.25,1170,1249,3,0,0,3,8,1170,0.0,2014,0,98107,47.6722,-122.381,1350,1310,5,2014,6,"(47.6722, -122.381)",6.411178760841547
4232901525,665000.0,2,1.0,1110,3200,1,0,0,3,7,1110,0.0,1925,0,98119,47.6338,-122.35799999999999,1170,3600,6,2014,95,"(47.6338, -122.35799999999999)",2.6601211701873018
1777500060,527700.0,5,2.5,2820,9375,1,0,0,4,8,1550,1270.0,1968,0,98006,47.5707,-122.12799999999999,2820,9375,7,2014,52,"(47.5707, -122.12799999999999)",16.029833049263004
1432900240,205000.0,3,1.0,1610,8579,1,0,0,4,7,1010,600.0,1962,0,98058,47.4563,-122.171,1610,8579,5,2015,58,"(47.4563, -122.171)",22.413490104387076
6140100875,420000.0,3,1.0,1060,8097,1,0,0,4,7,940,120.0,1923,0,98133,47.7144,-122.351,1560,7940,4,2015,97,"(47.7144, -122.351)",9.637893685108263
6071600370,500000.0,4,2.25,2030,8517,1,0,0,4,8,1380,650.0,1961,0,98006,47.5495,-122.17399999999999,2230,8824,2,2015,59,"(47.5495, -122.17399999999999)",14.303381668757305
1526069017,921500.0,4,2.5,3670,315374,2,0,0,4,9,3670,0.0,1994,0,98077,47.7421,-122.02600000000001,2840,87991,12,2014,26,"(47.7421, -122.02600000000001)",25.499002304687078
809001525,890000.0,4,1.0,2550,4000,2,0,0,3,8,2370,180.0,1905,0,98109,47.6354,-122.353,2200,4000,6,2014,115,"(47.6354, -122.353)",2.332620982138445
